filename,label,chi_mean,chi_std,chi_frac_p_lt_0_05,chi_bias,RS_mean,RS_std,SP_equal_ratio,SP_dev_from_0_5,suspicious_score,susp_z
img020.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img034.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img008.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img035.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img021.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img037.png,clean,29.729567307692307,7.069540197979943,0.9775641025641025,0.4752604166666667,0.943458486011368,0.01654506981255601,0.9722,0.47219999999999995,0.0,-1.1009589152496226
img023.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img022.png,clean,31.201121794871796,3.41695708148412,1.0,0.492588141025641,0.9841655551397538,0.004171946589026785,0.992,0.492,0.0,-1.1009589152496226
img036.png,clean,28.020833333333332,9.160044592345644,0.9423076923076923,0.4541266025641026,0.9702311556328536,0.011189344639238676,0.9808,0.4808,0.0,-1.1009589152496226
img013.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img007.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img006.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img012.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img038.png,clean,27.697115384615383,10.068734516110611,0.907051282051282,0.44591346153846156,0.91771417876299,0.0263786973206177,0.9512,0.45120000000000005,0.0,-1.1009589152496226
img004.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img010.png,clean,30.771634615384617,4.270223458523553,1.0,0.4885817307692308,0.9667303951534169,0.01023641239178885,0.9828,0.4828,0.0,-1.1009589152496226
img011.png,clean,31.508814102564102,3.584715153016018,0.9903846153846154,0.4941907051282051,0.9991,0.0011618950038622129,0.9996,0.49960000000000004,0.0,-1.1009589152496226
img005.png,clean,28.87940705128205,8.478457725413092,0.9423076923076923,0.4622395833333333,0.9508850977580741,0.023808578666238835,0.9634,0.46340000000000003,0.0,-1.1009589152496226
img039.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img001.png,clean,24.296875,12.994407398871122,0.8012820512820513,0.3981370192307692,0.8464891207502885,0.0536475397059312,0.8908,0.39080000000000004,0.0,-1.1009589152496226
img015.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img029.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img028.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img014.png,clean,24.16346153846154,12.068228971881146,0.8653846153846154,0.40544871794871795,0.8381366992018032,0.04326609055590485,0.898,0.398,0.0,-1.1009589152496226
img016.png,clean,31.97596153846154,0.42392288674395184,1.0,0.49979967948717946,0.9992999599839936,0.0004795915078587798,0.9996,0.49960000000000004,0.0,-1.1009589152496226
img002.png,clean,29.46434294871795,7.7628667365171635,0.9551282051282052,0.4694511217948718,0.9845673093097507,0.005839427368436301,0.993,0.493,0.0,-1.1009589152496226
img003.png,clean,32.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,0.0,-1.1009589152496226
img017.png,clean,22.871794871794872,13.604901289098997,0.7532051282051282,0.3796073717948718,0.8105567211167629,0.06441439211720286,0.8724,0.37239999999999995,0.0,-1.1009589152496226
